date	confirmed	deaths	recovered	active
2020-01-20	1	0	0	1
2020-01-21	1	0	0	1
2020-01-22	1	0	0	1
2020-01-23	1	0	0	1
2020-01-24	2	0	0	2
2020-01-25	2	0	0	2
2020-01-26	3	0	0	3
2020-01-27	4	0	0	4
2020-01-28	4	0	0	4
2020-01-29	4	0	0	4
2020-01-30	7	0	0	7
2020-01-31	11	0	0	11
2020-02-01	12	0	0	12
2020-02-02	15	0	0	15
2020-02-03	15	0	0	15
2020-02-04	16	0	0	16
2020-02-05	21	0	0	21
2020-02-06	24	0	0	24
2020-02-07	24	0	0	24
2020-02-08	24	0	2	22
2020-02-09	27	0	5	22
2020-02-10	28	0	5	23
2020-02-11	28	0	6	22
2020-02-12	28	0	10	18
2020-02-13	28	0	11	17
2020-02-14	28	0	13	15
2020-02-15	28	0	13	15
2020-02-16	30	0	13	17
2020-02-17	30	0	13	17
2020-02-18	32	0	13	19
2020-02-19	66	0	17	49
2020-02-20	82	1	17	64
2020-02-21	156	3	34	119
2020-02-22	346	4	34	308
2020-02-23	556	6	35	515
2020-02-24	763	9	35	719
2020-02-25	893	10	39	844
2020-02-26	1146	13	39	1094
2020-02-27	1595	14	41	1540
2020-02-28	2022	14	42	1966
2020-02-29	2931	17	43	2871
2020-03-01	3526	17	45	3464
2020-03-02	4212	21	46	4145
2020-03-03	4812	27	49	4736
2020-03-04	5328	31	56	5241
2020-03-05	5766	34	103	5629
2020-03-06	6284	41	123	6120
2020-03-07	6767	43	133	6591
2020-03-08	7134	49	145	6940
2020-03-09	7382	50	181	7151
2020-03-10	7513	54	262	7197
2020-03-11	7755	60	303	7392
2020-03-12	7869	66	348	7455
2020-03-13	7979	67	525	7387
2020-03-14	8086	72	729	7285
2020-03-15	8162	75	849	7238
2020-03-16	8236	75	1152	7009
2020-03-17	8320	81	1416	6823
2020-03-18	8413	84	1555	6774
2020-03-19	8565	91	1962	6512
2020-03-20	8652	94	2248	6310
2020-03-21	8799	102	2627	6070
2020-03-22	8897	104	2924	5869
2020-03-23	8961	111	3181	5669
2020-03-24	9037	120	3522	5395
2020-03-25	9137	126	3745	5266
2020-03-26	9241	131	4159	4951
2020-03-27	9332	139	4543	4650
2020-03-28	9478	144	4826	4508
2020-03-29	9583	152	5048	4383
2020-03-30	9661	158	5243	4260
2020-03-31	9786	162	5423	4201
2020-04-01	9887	165	5582	4140
2020-04-02	9976	169	5843	3964
2020-04-03	10062	174	6036	3852
2020-04-04	10156	177	6340	3639
2020-04-05	10237	183	6478	3576
2020-04-06	10284	186	6613	3485
2020-04-07	10331	192	6709	3430
2020-04-08	10384	200	6791	3393
2020-04-09	10423	204	6988	3231
2020-04-10	10450	208	7132	3110
2020-04-11	10480	211	7258	3011
2020-04-12	10512	214	7383	2915
2020-04-13	10537	217	7462	2858
2020-04-14	10564	222	7549	2793
2020-04-15	10591	225	7631	2735
2020-04-16	10613	229	7772	2612
2020-04-17	10635	230	7844	2561
2020-04-18	10653	232	7952	2469
2020-04-19	10661	234	8057	2370
2020-04-20	10674	236	8129	2309
